Tamanho,Threads,TempoSequencialMedio,TempoParaleloMedio,Speedup,Eficiencia
1000,2,3.359183,1.692369,1.984900,0.992450
1000,4,3.359183,0.845277,3.974064,0.993516
1000,8,3.359183,0.526341,6.382137,0.797767
1000,16,3.359183,0.465087,7.222693,0.451418
2000,2,30.529644,14.612494,2.089284,1.044642
2000,4,30.529644,7.189421,4.246468,1.061617
2000,8,30.529644,4.047933,7.542033,0.942754
2000,16,30.529644,3.694129,8.264368,0.516523
4000,2,261.210362,116.169097,2.248536,1.124268
4000,4,261.210362,57.592006,4.535532,1.133883
4000,8,261.210362,38.459985,6.791744,0.848968
4000,16,261.210362,37.767612,6.916253,0.432266
8000,2,2265.544566,914.232150,2.478085,1.239042
8000,4,2265.544566,463.859739,4.884116,1.221029
8000,8,2265.544566,327.759323,6.912220,0.864028
8000,16,2265.544566,308.431035,7.345385,0.459087
10000,2,3560.649892,1708.119541,2.084544,1.042272
10000,4,3560.649892,886.786566,4.015228,1.003807
10000,8,3560.649892,609.231539,5.844494,0.730562
10000,16,3560.649892,724.634551,4.913718,0.307107
